article_id,title,user_id
1430.0,"using pixiedust for fast, flexible, and easier data analysis and experimentation",1
1314.0,healthcare python streaming application demo,2
1429.0,use deep learning for image classification,3
1338.0,ml optimization using cognitive assistant,4
1276.0,deploy your python model as a restful api,5
1432.0,visualize data with the matplotlib library,6
1429.0,use deep learning for image classification,7
593.0,upload files to ibm data science experience using the command line,8
1314.0,healthcare python streaming application demo,9
1185.0,classify tumors with machine learning,10
993.0,configuring the apache spark sql context,11
14.0,got zip code data? prep it for analytics. – ibm watson data lab – medium,12
1395.0,the unit commitment problem,13
1314.0,healthcare python streaming application demo,4
1170.0,"apache spark lab, part 1: basic concepts",10
542.0,getting started with python,14
12.0,timeseries data analysis of iot events by using jupyter notebook,11
1430.0,"using pixiedust for fast, flexible, and easier data analysis and experimentation",15
1338.0,ml optimization using cognitive assistant,16
173.0,"10 must attend data science, ml and ai conferences in 2018",17
1314.0,healthcare python streaming application demo,18
1338.0,ml optimization using cognitive assistant,19
1320.0,housing (2015): united states demographic measures,20
1052.0,access db2 warehouse on cloud and db2 with python,14
1432.0,visualize data with the matplotlib library,18
1393.0,the nurse assignment problem,21
1338.0,ml optimization using cognitive assistant,6
593.0,upload files to ibm data science experience using the command line,22
362.0,dsx: hybrid mode,23
1364.0,predicting churn with the spss random tree algorithm,24
194.0,data science for real-time streaming analytics,6
1162.0,analyze energy consumption in buildings,25
1324.0,ibm watson facebook posts for 2015,24
460.0,web picks - dataminingapps,26
1052.0,access db2 warehouse on cloud and db2 with python,8
1338.0,ml optimization using cognitive assistant,27
1432.0,visualize data with the matplotlib library,15
1431.0,visualize car data with brunel,28
189.0,common excel tasks demonstrated in pandas,8
173.0,"10 must attend data science, ml and ai conferences in 2018",29
1164.0,analyze open data sets with pandas dataframes,30
1429.0,use deep learning for image classification,3
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",31
1332.0,intents & examples for ibm watson conversation,32
1172.0,"apache spark lab, part 3: machine learning",10
1431.0,visualize car data with brunel,33
1410.0,uci: sms spam collection,24
1368.0,putting a human face on machine learning,34
1305.0,gosales transactions for naive bayes model,35
1053.0,access mysql with python,36
1162.0,analyze energy consumption in buildings,36
1054.0,access mysql with r,37
173.0,"10 must attend data science, ml and ai conferences in 2018",9
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",38
349.0,ibm data science experience white paper - sparkr transforming r into a tool for big data analytics,39
1162.0,analyze energy consumption in buildings,40
1304.0,gosales transactions for logistic regression model,41
1436.0,welcome to pixiedust,41
1393.0,the nurse assignment problem,13
1395.0,the unit commitment problem,42
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",6
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",43
316.0,"leverage python, scikit, and text classification for behavioral profiling",39
1279.0,"dry bulb temperature, by country, station and year",44
1441.0,world tourism data by the world tourism organization,45
162.0,an introduction to stock market data analysis with r (part 1),41
1330.0,insights from new york car accident reports,32
1343.0,maximize oil company profits,13
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",46
1070.0,airbnb data for analytics: austin listings,45
1320.0,housing (2015): united states demographic measures,47
1184.0,"city population by sex, city and city type",35
409.0,using github for project control in dsx,23
1432.0,visualize data with the matplotlib library,48
1423.0,use sql with data in hadoop python,49
1429.0,use deep learning for image classification,7
943.0,discover hidden facebook usage insights,36
871.0,overfitting in machine learning: what it is and how to prevent it,50
1314.0,healthcare python streaming application demo,51
1162.0,analyze energy consumption in buildings,52
1429.0,use deep learning for image classification,40
1162.0,analyze energy consumption in buildings,53
1420.0,use apache systemml and spark for machine learning,54
844.0,use the cloudant-spark connector in python notebook,55
1430.0,"using pixiedust for fast, flexible, and easier data analysis and experimentation",33
1163.0,analyze open data sets with spark & pixiedust,56
1400.0,uci ml repository: chronic kidney disease data set,57
1330.0,insights from new york car accident reports,10
1405.0,uci: heart disease - cleveland,58
1328.0,income (2015): united states demographic measures,59
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",51
1395.0,the unit commitment problem,19
1364.0,predicting churn with the spss random tree algorithm,6
1314.0,healthcare python streaming application demo,60
943.0,discover hidden facebook usage insights,28
1162.0,analyze energy consumption in buildings,40
1164.0,analyze open data sets with pandas dataframes,14
409.0,using github for project control in dsx,23
173.0,"10 must attend data science, ml and ai conferences in 2018",60
1393.0,the nurse assignment problem,21
977.0,apache spark as the new engine of genomics,11
930.0,how to use version control (github) in rstudio within dsx?,61
1314.0,healthcare python streaming application demo,62
1330.0,insights from new york car accident reports,32
1360.0,pixieapp for outlier detection,46
1053.0,access mysql with python,36
1162.0,analyze energy consumption in buildings,36
1314.0,healthcare python streaming application demo,32
695.0,excel files: loading from object storage — python,63
730.0,developing for the ibm streaming analytics service,55
1430.0,"using pixiedust for fast, flexible, and easier data analysis and experimentation",41
586.0,building a business that combines human experts and data science,64
1338.0,ml optimization using cognitive assistant,33
1052.0,access db2 warehouse on cloud and db2 with python,14
1330.0,insights from new york car accident reports,4
1432.0,visualize data with the matplotlib library,65
1393.0,the nurse assignment problem,66
943.0,discover hidden facebook usage insights,33
1338.0,ml optimization using cognitive assistant,67
310.0,time series prediction using recurrent neural networks (lstms),68
1364.0,predicting churn with the spss random tree algorithm,69
1314.0,healthcare python streaming application demo,64
131.0,simple graphing with ipython and pandas,14
173.0,"10 must attend data science, ml and ai conferences in 2018",49
173.0,"10 must attend data science, ml and ai conferences in 2018",52
50.0,graph-based machine learning,70
1162.0,analyze energy consumption in buildings,33
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",71
1157.0,airbnb data for analytics: washington d.c. listings,45
1411.0,uci: white wine quality,72
1351.0,model bike sharing data with spss,5
962.0,data visualization with r: scrum metrics,73
1189.0,contraceptive prevalence (% women 15-49) by country,74
1431.0,visualize car data with brunel,28
1053.0,access mysql with python,75
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",34
1429.0,use deep learning for image classification,6
359.0,optimizing a marketing campaign: moving from predictions to actions,28
1276.0,deploy your python model as a restful api,8
1360.0,pixieapp for outlier detection,76
1431.0,visualize car data with brunel,33
1305.0,gosales transactions for naive bayes model,2
1165.0,analyze precipitation data,48
1165.0,analyze precipitation data,77
1431.0,visualize car data with brunel,28
593.0,upload files to ibm data science experience using the command line,78
50.0,graph-based machine learning,70
1059.0,airbnb data for analytics: amsterdam calendar,63
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",79
173.0,"10 must attend data science, ml and ai conferences in 2018",80
1338.0,ml optimization using cognitive assistant,81
1185.0,classify tumors with machine learning,82
1436.0,welcome to pixiedust,56
173.0,"10 must attend data science, ml and ai conferences in 2018",48
1293.0,finding optimal locations of new store using decision optimization,75
1163.0,analyze open data sets with spark & pixiedust,8
1293.0,finding optimal locations of new store using decision optimization,75
1330.0,insights from new york car accident reports,4
1160.0,analyze accident reports on amazon emr spark,25
788.0,quick guide to build a recommendation engine in python,83
1359.0,percentage of internet users by country,45
1432.0,visualize data with the matplotlib library,16
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",32
1160.0,analyze accident reports on amazon emr spark,27
898.0,neural language modeling from scratch (part 1),8
1160.0,analyze accident reports on amazon emr spark,56
1423.0,use sql with data in hadoop python,49
270.0,learning statistics on youtube,84
302.0,accelerate your workflow with dsx,8
1328.0,income (2015): united states demographic measures,85
1333.0,interest rates,24
1314.0,healthcare python streaming application demo,18
1166.0,analyzing data by using the sparkling.data library features,5
1174.0,breast cancer wisconsin (diagnostic) data set,32
1276.0,deploy your python model as a restful api,63
785.0,interactive time series with dygraphs,86
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",71
1162.0,analyze energy consumption in buildings,36
1293.0,finding optimal locations of new store using decision optimization,87
1436.0,welcome to pixiedust,6
1313.0,health insurance (2015): united states demographic measures,88
1430.0,"using pixiedust for fast, flexible, and easier data analysis and experimentation",21
1170.0,"apache spark lab, part 1: basic concepts",89
1427.0,"use xgboost, scikit-learn & ibm watson machine learning apis",4
667.0,imitation learning in tensorflow (hopper from openai gym),90
1320.0,housing (2015): united states demographic measures,91
1338.0,ml optimization using cognitive assistant,92
1432.0,visualize data with the matplotlib library,93
528.0,10 tips on using jupyter notebook,94
1338.0,ml optimization using cognitive assistant,95
943.0,discover hidden facebook usage insights,52
695.0,excel files: loading from object storage — python,8
1314.0,healthcare python streaming application demo,8
1162.0,analyze energy consumption in buildings,96
460.0,web picks - dataminingapps,9
1338.0,ml optimization using cognitive assistant,92
173.0,"10 must attend data science, ml and ai conferences in 2018",8
1338.0,ml optimization using cognitive assistant,88
1228.0,country statistics: infant mortality rate,74
1422.0,use r dataframes & ibm watson natural language understanding,97
1431.0,visualize car data with brunel,56
1314.0,healthcare python streaming application demo,6
1305.0,gosales transactions for naive bayes model,35
173.0,"10 must attend data science, ml and ai conferences in 2018",98
1431.0,visualize car data with brunel,99
1330.0,insights from new york car accident reports,10
1360.0,pixieapp for outlier detection,100
1349.0,"mobile-cellular telephone subscriptions per 100 inhabitants, worldwide",24
1326.0,improved water source by country: % population with access,24
693.0,better together: spss and data science experience,57
887.0,"502    forgetting the past to learn the future: long ...
Name: title, dtype: object",50
593.0,upload files to ibm data science experience using the command line,101
1169.0,annual precipitation by country 1990-2009,77
1052.0,access db2 warehouse on cloud and db2 with python,8
173.0,"10 must attend data science, ml and ai conferences in 2018",102
173.0,"10 must attend data science, ml and ai conferences in 2018",103
1360.0,pixieapp for outlier detection,40
1162.0,analyze energy consumption in buildings,25
1432.0,visualize data with the matplotlib library,104
108.0,"520    using notebooks with pixiedust for fast, flexi...
Name: title, dtype: object",105
1162.0,analyze energy consumption in buildings,53
1351.0,model bike sharing data with spss,5
1160.0,analyze accident reports on amazon emr spark,4
302.0,accelerate your workflow with dsx,23
1331.0,"intentional homicide, number and rate per 100,000 population, by country",106
1296.0,fortune 100 companies,45
151.0,jupyter notebook tutorial,41
1320.0,housing (2015): united states demographic measures,107
1276.0,deploy your python model as a restful api,64
1165.0,analyze precipitation data,78
1315.0,high-tech exports as % of manufactured exports by country,24
1293.0,finding optimal locations of new store using decision optimization,26
1338.0,ml optimization using cognitive assistant,64
1314.0,healthcare python streaming application demo,51
485.0,a moving average trading strategy,13
1052.0,access db2 warehouse on cloud and db2 with python,14
1324.0,ibm watson facebook posts for 2015,97
1280.0,education (2015): united states demographic measures,108
1431.0,visualize car data with brunel,94
173.0,"10 must attend data science, ml and ai conferences in 2018",109
645.0,how to perform a logistic regression in r,41
124.0,python machine learning: scikit-learn tutorial,71
1162.0,analyze energy consumption in buildings,25
